Signal_ID,Location,Track_ID,Position_KM,Initial_State,Red_Time_Sec,Yellow_Time_Sec,Green_Time_Sec,Controlled_Tracks,Signal_Type,Last_Maintenance
SG0714,JN0021-JN0944,TK2528,72.22,Green,152,10,226,"[""TK2528"", ""TK0278"", ""TK2056""]",Manual,2025-05-05 17:37:30.214681
SG0715,JN0806-JN0456,TK0118,143.03,Yellow,134,11,205,"[""TK0118""]",Manual,2025-06-11 17:37:30.215475
SG0716,JN0507-JN0643,TK1331,181.41,Red,174,11,160,"[""TK1331""]",Semi-Automatic,2025-03-22 17:37:30.216276
SG0717,JN0002-JN0150,TK0119,316.49,Green,151,11,114,"[""TK0119""]",Semi-Automatic,2024-10-03 17:37:30.217141
SG0718,JN0458-JN0516,TK2624,170.27,Red,82,8,279,"[""TK2624""]",Semi-Automatic,2024-10-25 17:37:30.218023
SG0719,JN0151-JN0384,TK0304,7.9,Yellow,89,14,178,"[""TK0304""]",Automatic,2025-02-11 17:37:30.218809
SG0720,JN0751-JN0017,TK2547,38.58,Green,159,14,288,"[""TK2547""]",Automatic,2024-10-31 17:37:30.219591
SG0721,JN0584-JN0755,TK1628,290.04,Green,121,11,140,"[""TK1628""]",Semi-Automatic,2025-08-17 17:37:30.220448
SG0722,JN0212-JN0930,TK2511,268.55,Yellow,80,10,130,"[""TK2511""]",Automatic,2025-07-03 17:37:30.221239
SG0723,JN0851-JN0176,TK1702,41.71,Green,129,11,209,"[""TK1702""]",Manual,2025-08-06 17:37:30.222042
SG0724,JN0214-JN0451,TK0405,218.9,Green,126,6,159,"[""TK0405"", ""TK0137"", ""TK1090""]",Semi-Automatic,2025-08-10 17:37:30.223260
SG0725,JN0931-JN0928,TK1317,231.25,Red,147,13,266,"[""TK1317""]",Semi-Automatic,2025-01-16 17:37:30.224038
SG0726,JN0955-JN0215,TK0862,145.98,Green,147,8,239,"[""TK0862""]",Automatic,2025-04-20 17:37:30.224805
SG0727,JN0528-JN0435,TK2948,83.14,Yellow,123,6,167,"[""TK2948"", ""TK1205""]",Automatic,2025-05-13 17:37:30.226005
SG0728,JN0655-JN0520,TK0313,9.55,Yellow,61,13,103,"[""TK0313""]",Semi-Automatic,2025-04-03 17:37:30.226889
SG0729,JN0994-JN0808,TK1677,6.61,Red,113,9,265,"[""TK1677""]",Automatic,2024-12-31 17:37:30.227687
SG0730,JN0458-JN0516,TK2624,210.12,Green,128,7,256,"[""TK2624"", ""TK2937""]",Automatic,2025-09-02 17:37:30.228944
SG0731,JN0534-JN0069,TK1186,85.3,Green,126,14,167,"[""TK1186""]",Semi-Automatic,2025-04-11 17:37:30.229737
SG0732,JN0846-JN0669,TK0345,84.9,Red,171,6,251,"[""TK0345"", ""TK1347"", ""TK2750""]",Automatic,2025-06-20 17:37:30.230980
SG0733,JN0583-JN0846,TK2143,14.47,Green,136,14,182,"[""TK2143""]",Semi-Automatic,2024-09-24 17:37:30.231772
SG0734,JN0050-JN0442,TK1622,145.98,Green,153,7,170,"[""TK1622""]",Automatic,2025-07-04 17:37:30.232585
SG0735,JN0437-JN0848,TK1953,1.35,Red,123,5,256,"[""TK1953""]",Manual,2024-11-02 17:37:30.233379
SG0736,JN0598-JN0508,TK2601,277.79,Green,133,12,159,"[""TK2601"", ""TK2427""]",Automatic,2025-04-20 17:37:30.234594
SG0737,JN0337-JN0009,TK2912,30.02,Red,109,14,195,"[""TK2912""]",Manual,2025-03-07 17:37:30.235377
SG0738,JN0482-JN0904,TK2726,145.23,Yellow,116,7,291,"[""TK2726"", ""TK0554"", ""TK1146""]",Semi-Automatic,2024-12-16 17:37:30.236620
SG0739,JN0688-JN0437,TK0171,161.56,Red,163,13,171,"[""TK0171""]",Manual,2025-05-29 17:37:30.237427
SG0740,JN0178-JN0967,TK2090,15.93,Green,144,7,271,"[""TK2090""]",Automatic,2024-12-08 17:37:30.238213
SG0741,JN0638-JN0067,TK2481,120.51,Yellow,64,9,170,"[""TK2481""]",Semi-Automatic,2024-12-09 17:37:30.238989
SG0742,JN0925-JN0910,TK1373,25.54,Yellow,78,13,282,"[""TK1373"", ""TK0890"", ""TK2519""]",Semi-Automatic,2024-10-06 17:37:30.240192
SG0743,JN0035-JN0063,TK2508,102.17,Green,151,13,258,"[""TK2508""]",Manual,2025-05-30 17:37:30.240967
SG0744,JN0364-JN0869,TK1410,144.29,Red,159,10,275,"[""TK1410""]",Semi-Automatic,2025-09-11 17:37:30.241730
SG0745,JN0053-JN0328,TK2033,110.91,Green,155,7,258,"[""TK2033""]",Automatic,2025-05-27 17:37:30.242515
SG0746,JN0295-JN0772,TK1872,63.43,Yellow,94,7,120,"[""TK1872""]",Manual,2025-08-14 17:37:30.243295
SG0747,JN0930-JN0236,TK1942,41.79,Green,98,10,251,"[""TK1942""]",Semi-Automatic,2024-10-16 17:37:30.244087
SG0748,JN0540-JN0762,TK1668,190.13,Green,171,7,156,"[""TK1668""]",Semi-Automatic,2025-06-14 17:37:30.244920
SG0749,JN0062-JN0998,TK2972,32.09,Green,136,10,255,"[""TK2972"", ""TK1573""]",Manual,2025-04-19 17:37:30.246162
SG0750,JN0932-JN0138,TK2556,171.91,Green,142,6,231,"[""TK2556""]",Semi-Automatic,2025-09-17 17:37:30.246962
SG0751,JN0534-JN0278,TK2366,57.25,Yellow,74,7,187,"[""TK2366"", ""TK1010""]",Manual,2025-06-01 17:37:30.248247
SG0752,JN0331-JN0932,TK0121,9.83,Red,87,13,106,"[""TK0121""]",Automatic,2024-09-25 17:37:30.249053
SG0753,JN0424-JN0042,TK2832,19.77,Green,177,14,100,"[""TK2832""]",Manual,2025-06-25 17:37:30.249830
SG0754,JN0771-JN0850,TK2793,33.06,Yellow,73,13,159,"[""TK2793"", ""TK1356""]",Manual,2025-08-06 17:37:30.251052
SG0755,JN0972-JN0101,TK2632,137.49,Yellow,110,6,168,"[""TK2632""]",Semi-Automatic,2024-12-10 17:37:30.251845
SG0756,JN0225-JN0414,TK2617,29.66,Green,82,8,130,"[""TK2617"", ""TK0792""]",Semi-Automatic,2025-09-17 17:37:30.253079
SG0757,JN0298-JN0139,TK2680,110.47,Yellow,153,5,143,"[""TK2680"", ""TK0807"", ""TK0473""]",Manual,2025-07-02 17:37:30.254306
SG0758,JN0504-JN0936,TK1134,327.46,Red,165,6,174,"[""TK1134"", ""TK1225""]",Manual,2025-05-01 17:37:30.255520
SG0759,JN0215-JN0138,TK2127,12.03,Green,76,6,292,"[""TK2127""]",Semi-Automatic,2024-10-21 17:37:30.256330
SG0760,JN0192-JN0476,TK1292,164.45,Red,100,12,235,"[""TK1292""]",Semi-Automatic,2024-12-31 17:37:30.257120
SG0761,JN0264-JN0927,TK2068,183.72,Red,139,10,211,"[""TK2068""]",Semi-Automatic,2025-01-04 17:37:30.257897
SG0762,JN0431-JN0690,TK0430,233.15,Red,131,8,105,"[""TK0430""]",Semi-Automatic,2025-08-02 17:37:30.258662
SG0763,JN0913-JN0119,TK0653,62.78,Yellow,85,7,299,"[""TK0653"", ""TK0956"", ""TK1396""]",Manual,2024-10-10 17:37:30.259898
SG0764,JN0139-JN0465,TK2931,12.35,Red,165,9,289,"[""TK2931""]",Semi-Automatic,2025-02-21 17:37:30.260676
SG0765,JN0220-JN0323,TK1423,5.68,Red,159,11,233,"[""TK1423""]",Manual,2024-12-11 17:37:30.261469
SG0766,JN0751-JN0190,TK0684,6.98,Red,122,5,111,"[""TK0684""]",Manual,2025-03-13 17:37:30.262235
SG0767,JN0213-JN0179,TK2217,362.33,Yellow,88,5,104,"[""TK2217"", ""TK1533"", ""TK1632""]",Manual,2024-11-26 17:37:30.263427
SG0768,JN0195-JN0683,TK2559,70.15,Green,94,7,284,"[""TK2559""]",Semi-Automatic,2025-03-15 17:37:30.264222
SG0769,JN0614-JN0105,TK2200,0.16,Red,112,12,146,"[""TK2200""]",Semi-Automatic,2025-04-24 17:37:30.264996
SG0770,JN0863-JN0250,TK2336,6.2,Yellow,79,9,116,"[""TK2336"", ""TK1958"", ""TK0246""]",Manual,2024-11-21 17:37:30.266200
SG0771,JN0875-JN0164,TK2784,90.95,Green,83,10,155,"[""TK2784"", ""TK0149""]",Automatic,2025-08-18 17:37:30.267415
SG0772,JN0532-JN0924,TK1428,19.21,Green,145,7,152,"[""TK1428""]",Semi-Automatic,2024-12-26 17:37:30.268203
SG0773,JN0994-JN0808,TK1677,77.76,Red,140,8,266,"[""TK1677""]",Automatic,2024-12-21 17:37:30.268990
SG0774,JN0738-JN0927,TK1658,128.78,Green,70,9,282,"[""TK1658"", ""TK2927"", ""TK0726""]",Automatic,2025-07-23 17:37:30.270210
SG0775,JN0466-JN0396,TK2606,85.81,Red,99,11,127,"[""TK2606""]",Semi-Automatic,2024-10-02 17:37:30.270997
SG0776,JN0672-JN0123,TK2039,159.86,Yellow,83,9,196,"[""TK2039"", ""TK0558"", ""TK2810""]",Semi-Automatic,2025-06-19 17:37:30.272214
SG0777,JN0237-JN0937,TK0964,323.45,Yellow,128,8,141,"[""TK0964"", ""TK0188"", ""TK2993""]",Semi-Automatic,2025-05-15 17:37:30.273427
SG0778,JN0653-JN0678,TK0320,7.3,Red,118,10,234,"[""TK0320""]",Manual,2025-04-15 17:37:30.274216
SG0779,JN0522-JN0084,TK1977,340.08,Yellow,144,14,265,"[""TK1977""]",Automatic,2024-11-26 17:37:30.275014
SG0780,JN0568-JN0213,TK0584,234.62,Green,120,8,294,"[""TK0584""]",Automatic,2024-10-17 17:37:30.275781
SG0781,JN0936-JN0831,TK2265,31.89,Green,178,10,275,"[""TK2265""]",Semi-Automatic,2024-10-01 17:37:30.276566
SG0782,JN0881-JN0792,TK1998,250.69,Red,161,9,201,"[""TK1998""]",Manual,2025-01-27 17:37:30.277364
SG0783,JN0262-JN0698,TK2893,109.72,Yellow,121,11,234,"[""TK2893""]",Semi-Automatic,2025-04-27 17:37:30.278148
SG0784,JN0204-JN0699,TK0799,219.6,Yellow,172,9,243,"[""TK0799""]",Semi-Automatic,2025-07-02 17:37:30.278922
SG0785,JN0554-JN0157,TK0733,19.7,Red,89,6,205,"[""TK0733""]",Manual,2025-07-11 17:37:30.279679
SG0786,JN0579-JN0315,TK2766,222.94,Green,177,5,200,"[""TK2766""]",Manual,2025-08-03 17:37:30.281040
SG0787,JN0051-JN0781,TK0462,12.98,Red,69,12,256,"[""TK0462"", ""TK1305""]",Manual,2024-09-22 17:37:30.282264
SG0788,JN0603-JN0917,TK1531,221.88,Yellow,104,12,287,"[""TK1531""]",Automatic,2024-12-23 17:37:30.283045
SG0789,JN0072-JN0245,TK1382,9.82,Yellow,65,5,134,"[""TK1382""]",Manual,2025-08-06 17:37:30.283808
SG0790,JN0974-JN0836,TK1497,5.22,Green,166,6,273,"[""TK1497""]",Manual,2024-12-18 17:37:30.284601
SG0791,JN0968-JN0332,TK0989,180.35,Yellow,109,5,141,"[""TK0989"", ""TK0699""]",Automatic,2025-06-07 17:37:30.285806
SG0792,JN0736-JN0171,TK1264,1.41,Green,160,13,167,"[""TK1264"", ""TK0924""]",Manual,2024-10-29 17:37:30.287015
SG0793,JN0403-JN0222,TK1859,306.65,Red,96,10,278,"[""TK1859""]",Automatic,2025-02-20 17:37:30.287789
SG0794,JN0259-JN0753,TK2424,53.54,Red,147,12,167,"[""TK2424""]",Automatic,2025-04-04 17:37:30.288564
SG0795,JN0579-JN0315,TK2766,271.76,Green,103,7,229,"[""TK2766""]",Semi-Automatic,2025-09-15 17:37:30.289327
SG0796,JN0584-JN0721,TK0082,6.65,Yellow,175,12,110,"[""TK0082""]",Manual,2025-07-24 17:37:30.290112
SG0797,JN0251-JN0166,TK2095,122.72,Red,120,11,148,"[""TK2095""]",Automatic,2025-08-23 17:37:30.290879
SG0798,JN0517-JN0785,TK0817,183.57,Red,150,9,267,"[""TK0817""]",Semi-Automatic,2025-09-06 17:37:30.291630
SG0799,JN0176-JN0273,TK2500,30.63,Red,91,5,121,"[""TK2500""]",Manual,2025-09-10 17:37:30.292407
SG0800,JN0424-JN0573,TK2475,105.8,Green,137,9,183,"[""TK2475""]",Automatic,2024-11-16 17:37:30.293195
SG0801,JN0459-JN0333,TK1397,79.4,Red,151,13,134,"[""TK1397"", ""TK2748"", ""TK2824""]",Automatic,2025-08-08 17:37:30.294402
SG0802,JN0358-JN0917,TK0874,16.98,Yellow,133,6,100,"[""TK0874"", ""TK2786""]",Manual,2025-05-17 17:37:30.295624
SG0803,JN0919-JN0545,TK0197,9.62,Green,137,7,106,"[""TK0197""]",Semi-Automatic,2025-05-23 17:37:30.296432
SG0804,JN0275-JN0366,TK1917,46.6,Red,105,13,98,"[""TK1917""]",Manual,2024-10-01 17:37:30.297217
SG0805,JN0308-JN0151,TK0944,213.48,Green,70,7,208,"[""TK0944"", ""TK2086"", ""TK1266""]",Semi-Automatic,2025-03-31 17:37:30.298415
SG0806,JN0319-JN0562,TK1710,242.85,Yellow,138,12,178,"[""TK1710""]",Automatic,2025-09-12 17:37:30.299207
SG0807,JN0508-JN0119,TK1198,51.84,Green,98,11,188,"[""TK1198""]",Semi-Automatic,2025-02-06 17:37:30.299977
SG0808,JN0964-JN0644,TK1121,118.68,Yellow,151,11,240,"[""TK1121""]",Manual,2025-05-12 17:37:30.300744
SG0809,JN0588-JN0386,TK2146,24.04,Green,96,10,275,"[""TK2146""]",Manual,2025-09-07 17:37:30.301525
SG0810,JN0669-JN0165,TK2586,21.87,Red,81,8,284,"[""TK2586""]",Semi-Automatic,2025-06-28 17:37:30.302319
SG0811,JN0304-JN0901,TK0070,190.34,Green,63,13,167,"[""TK0070""]",Manual,2025-01-27 17:37:30.303095
SG0812,JN0786-JN0487,TK1377,65.83,Red,84,12,293,"[""TK1377""]",Semi-Automatic,2024-11-28 17:37:30.303864
SG0813,JN0666-JN0219,TK1509,184.44,Yellow,158,10,176,"[""TK1509""]",Automatic,2025-06-11 17:37:30.304640
SG0814,JN0912-JN0253,TK1112,86.75,Yellow,117,6,296,"[""TK1112""]",Automatic,2025-02-12 17:37:30.305448
SG0815,JN0071-JN0504,TK1279,78.61,Green,71,9,263,"[""TK1279""]",Manual,2024-10-15 17:37:30.306217
SG0816,JN0899-JN0794,TK1514,86.68,Green,113,7,227,"[""TK1514""]",Automatic,2024-12-12 17:37:30.306999
SG0817,JN0738-JN0927,TK1658,121.48,Yellow,162,11,244,"[""TK1658"", ""TK2258"", ""TK0406""]",Semi-Automatic,2025-09-06 17:37:30.308220
SG0818,JN0464-JN0109,TK2850,7.2,Green,140,8,257,"[""TK2850"", ""TK0130"", ""TK0912""]",Automatic,2025-08-16 17:37:30.309461
SG0819,JN0707-JN0393,TK2748,300.53,Green,65,9,237,"[""TK2748"", ""TK0382""]",Manual,2025-01-23 17:37:30.310679
SG0820,JN0754-JN0186,TK2276,31.68,Yellow,75,6,187,"[""TK2276""]",Manual,2025-05-20 17:37:30.311462
SG0821,JN0308-JN0234,TK0854,82.93,Yellow,70,8,127,"[""TK0854""]",Manual,2025-04-27 17:37:30.312282
SG0822,JN0112-JN0140,TK2852,8.53,Red,121,7,264,"[""TK2852""]",Semi-Automatic,2024-12-29 17:37:30.313050
SG0823,JN0831-JN0863,TK2341,294.56,Green,144,7,158,"[""TK2341""]",Automatic,2025-08-30 17:37:30.313806
SG0824,JN0082-JN0118,TK0883,34.89,Yellow,74,7,205,"[""TK0883""]",Automatic,2025-08-21 17:37:30.314572
SG0825,JN0965-JN0932,TK0075,31.31,Yellow,141,7,245,"[""TK0075""]",Semi-Automatic,2025-04-05 17:37:30.315348
SG0826,JN0505-JN0335,TK1444,0.21,Red,153,5,199,"[""TK1444""]",Automatic,2025-07-17 17:37:30.316122
SG0827,JN0491-JN0616,TK2414,35.44,Yellow,131,11,234,"[""TK2414"", ""TK0664""]",Automatic,2025-05-19 17:37:30.317318
SG0828,JN0488-JN0496,TK1349,220.56,Red,160,6,291,"[""TK1349""]",Automatic,2024-09-25 17:37:30.318093
SG0829,JN0894-JN0563,TK2209,84.5,Green,151,13,105,"[""TK2209""]",Manual,2024-11-08 17:37:30.318864
SG0830,JN0872-JN0924,TK1312,208.86,Red,128,6,269,"[""TK1312""]",Semi-Automatic,2024-11-14 17:37:30.319634
SG0831,JN0006-JN0554,TK0676,33.61,Green,132,13,123,"[""TK0676""]",Semi-Automatic,2025-03-25 17:37:30.320437
SG0832,JN0882-JN0940,TK1294,9.69,Red,146,11,90,"[""TK1294"", ""TK1171"", ""TK2578""]",Manual,2025-02-07 17:37:30.321651
SG0833,JN0243-JN0426,TK1129,159.13,Green,122,9,262,"[""TK1129""]",Manual,2025-05-14 17:37:30.322438
SG0834,JN0913-JN0119,TK0653,120.56,Red,154,11,154,"[""TK0653""]",Automatic,2025-04-10 17:37:30.323220
SG0835,JN0106-JN0848,TK0678,328.84,Green,120,8,226,"[""TK0678""]",Automatic,2025-08-02 17:37:30.323994
SG0836,JN0619-JN0739,TK1657,230.88,Yellow,82,8,215,"[""TK1657""]",Automatic,2024-12-03 17:37:30.324756
SG0837,JN0314-JN0958,TK2231,73.08,Green,169,10,159,"[""TK2231""]",Automatic,2025-09-06 17:37:30.325546
SG0838,JN0945-JN0730,TK2655,170.29,Green,156,5,138,"[""TK2655""]",Automatic,2024-11-22 17:37:30.326317
SG0839,JN0907-JN0605,TK0961,129.74,Yellow,138,6,273,"[""TK0961""]",Semi-Automatic,2025-02-20 17:37:30.327091
SG0840,JN0425-JN0275,TK0505,48.31,Yellow,97,14,148,"[""TK0505""]",Manual,2025-08-20 17:37:30.327868
SG0841,JN0368-JN0539,TK2578,19.33,Red,114,6,269,"[""TK2578""]",Manual,2025-01-27 17:37:30.328651
SG0842,JN0861-JN0480,TK2814,125.28,Green,77,12,165,"[""TK2814"", ""TK0563"", ""TK0363""]",Manual,2025-04-08 17:37:30.329896
SG0843,JN0763-JN0167,TK1124,103.13,Green,102,14,99,"[""TK1124""]",Semi-Automatic,2025-09-11 17:37:30.330670
SG0844,JN0343-JN0945,TK2763,43.69,Green,129,11,140,"[""TK2763""]",Automatic,2024-11-17 17:37:30.331451
SG0845,JN0342-JN0278,TK2678,217.56,Red,121,10,94,"[""TK2678""]",Semi-Automatic,2025-05-12 17:37:30.332229
SG0846,JN0164-JN0657,TK0702,208.83,Red,129,9,147,"[""TK0702""]",Semi-Automatic,2025-03-24 17:37:30.333004
SG0847,JN0150-JN0682,TK2005,334.28,Green,136,5,250,"[""TK2005"", ""TK2100""]",Automatic,2024-10-03 17:37:30.334208
SG0848,JN0416-JN0425,TK1813,175.82,Yellow,155,10,183,"[""TK1813"", ""TK0523"", ""TK0192""]",Manual,2024-10-02 17:37:30.335448
SG0849,JN0048-JN0822,TK1250,136.41,Green,176,11,219,"[""TK1250"", ""TK1825""]",Automatic,2025-06-24 17:37:30.336701
SG0850,JN0601-JN0604,TK2113,182.54,Yellow,97,11,96,"[""TK2113""]",Semi-Automatic,2024-11-30 17:37:30.337488
SG0851,JN0051-JN0521,TK2121,3.84,Red,72,7,192,"[""TK2121"", ""TK0950""]",Semi-Automatic,2025-07-31 17:37:30.338703
SG0852,JN0791-JN0315,TK2352,51.5,Yellow,69,11,170,"[""TK2352""]",Manual,2025-08-05 17:37:30.339484
SG0853,JN0201-JN0599,TK1549,306.27,Green,93,13,291,"[""TK1549""]",Semi-Automatic,2025-03-20 17:37:30.340248
SG0854,JN0624-JN0082,TK1990,49.15,Green,105,11,260,"[""TK1990""]",Manual,2025-01-16 17:37:30.341049
SG0855,JN0237-JN0638,TK0997,17.69,Yellow,167,14,133,"[""TK0997""]",Manual,2025-01-02 17:37:30.341831
SG0856,JN0613-JN0712,TK1838,63.95,Green,95,13,277,"[""TK1838""]",Manual,2025-05-27 17:37:30.342605
SG0857,JN0128-JN0841,TK0597,428.99,Green,119,7,106,"[""TK0597""]",Manual,2025-03-12 17:37:30.343369
SG0858,JN0243-JN0426,TK1129,239.35,Green,102,12,279,"[""TK1129""]",Manual,2025-02-13 17:37:30.344282
SG0859,JN0607-JN0330,TK2198,331.14,Yellow,112,7,125,"[""TK2198""]",Automatic,2024-11-25 17:37:30.345100
SG0860,JN0200-JN0435,TK2898,242.51,Green,120,6,191,"[""TK2898"", ""TK2398""]",Manual,2024-09-27 17:37:30.346350
SG0861,JN0089-JN0922,TK0608,107.08,Yellow,71,14,237,"[""TK0608"", ""TK1338""]",Automatic,2024-12-23 17:37:30.347603
SG0862,JN0855-JN0235,TK2071,208.14,Green,91,9,145,"[""TK2071"", ""TK0009""]",Manual,2025-07-22 17:37:30.348825
SG0863,JN0957-JN0394,TK2732,102.32,Yellow,61,14,276,"[""TK2732""]",Manual,2025-06-01 17:37:30.349613
SG0864,JN0092-JN0510,TK2021,96.62,Yellow,76,7,105,"[""TK2021""]",Semi-Automatic,2025-07-28 17:37:30.350447
SG0865,JN0704-JN0245,TK0541,110.75,Green,116,5,98,"[""TK0541""]",Semi-Automatic,2025-07-09 17:37:30.351228
SG0866,JN0505-JN0835,TK1660,112.71,Green,162,12,148,"[""TK1660"", ""TK1766""]",Manual,2025-03-06 17:37:30.352432
SG0867,JN0043-JN0567,TK1746,16.05,Red,129,14,157,"[""TK1746"", ""TK0102"", ""TK1013""]",Manual,2025-01-02 17:37:30.353630
SG0868,JN0105-JN0692,TK0362,194.08,Green,69,7,187,"[""TK0362"", ""TK0091"", ""TK2760""]",Semi-Automatic,2024-11-20 17:37:30.354842
SG0869,JN0985-JN0280,TK0581,450.69,Yellow,99,13,193,"[""TK0581""]",Automatic,2024-09-21 17:37:30.355624
SG0870,JN0100-JN0238,TK0585,62.11,Yellow,79,12,158,"[""TK0585""]",Automatic,2025-01-10 17:37:30.356401
SG0871,JN0071-JN0993,TK2860,71.15,Red,129,7,277,"[""TK2860"", ""TK0802""]",Manual,2025-01-06 17:37:30.357630
SG0872,JN0051-JN0781,TK0462,0.62,Green,132,11,175,"[""TK0462""]",Manual,2024-12-15 17:37:30.358419
SG0873,JN0866-JN0252,TK0570,122.78,Red,155,12,242,"[""TK0570""]",Manual,2024-10-05 17:37:30.359220
SG0874,JN0259-JN0122,TK1114,181.01,Red,173,13,253,"[""TK1114""]",Manual,2024-12-30 17:37:30.359986
SG0875,JN0510-JN0848,TK2848,27.13,Red,162,6,131,"[""TK2848"", ""TK0223""]",Manual,2025-09-03 17:37:30.361177
SG0876,JN0665-JN0368,TK2130,41.34,Red,164,7,186,"[""TK2130""]",Manual,2025-02-03 17:37:30.361938
SG0877,JN0500-JN0432,TK0668,253.76,Green,125,5,279,"[""TK0668""]",Automatic,2024-10-27 17:37:30.362717
SG0878,JN0655-JN0520,TK0313,213.3,Green,143,13,97,"[""TK0313"", ""TK1514"", ""TK0982""]",Semi-Automatic,2025-02-04 17:37:30.363917
SG0879,JN0776-JN0438,TK0324,277.76,Red,83,8,192,"[""TK0324""]",Manual,2025-02-22 17:37:30.364700
SG0880,JN0199-JN0767,TK2396,297.92,Yellow,99,7,260,"[""TK2396""]",Manual,2025-08-08 17:37:30.365517
SG0881,JN0110-JN0862,TK2331,134.17,Red,70,7,108,"[""TK2331""]",Automatic,2025-05-12 17:37:30.366292
SG0882,JN0451-JN0041,TK1692,53.87,Yellow,80,8,276,"[""TK1692""]",Manual,2025-06-28 17:37:30.367053
SG0883,JN0994-JN0808,TK1677,152.24,Yellow,139,9,200,"[""TK1677""]",Semi-Automatic,2025-02-15 17:37:30.367804
SG0884,JN0584-JN0721,TK0082,21.68,Red,173,14,215,"[""TK0082""]",Manual,2025-05-30 17:37:30.368577
SG0885,JN0006-JN0578,TK2937,61.68,Yellow,78,12,203,"[""TK2937""]",Semi-Automatic,2024-11-12 17:37:30.369355
SG0886,JN0745-JN0535,TK0352,33.49,Red,152,10,293,"[""TK0352""]",Automatic,2025-04-04 17:37:30.370125
SG0887,JN0763-JN0494,TK0781,168.42,Red,119,14,125,"[""TK0781""]",Automatic,2025-08-23 17:37:30.370878
SG0888,JN0199-JN0212,TK2516,297.72,Green,143,10,100,"[""TK2516""]",Manual,2024-10-13 17:37:30.371647
SG0889,JN0734-JN0488,TK2969,26.61,Red,144,11,253,"[""TK2969"", ""TK0335"", ""TK2553""]",Manual,2024-10-01 17:37:30.372870
SG0890,JN0855-JN0235,TK2071,458.33,Red,166,6,288,"[""TK2071""]",Semi-Automatic,2025-08-15 17:37:30.373662
SG0891,JN0451-JN0416,TK0192,79.67,Green,66,6,226,"[""TK0192""]",Semi-Automatic,2025-07-13 17:37:30.374439
SG0892,JN0474-JN0728,TK2904,301.67,Yellow,78,10,92,"[""TK2904"", ""TK2115""]",Semi-Automatic,2025-06-10 17:37:30.375771
SG0893,JN0763-JN0563,TK2568,352.02,Yellow,104,9,255,"[""TK2568"", ""TK1067"", ""TK0100""]",Semi-Automatic,2025-09-02 17:37:30.377024
SG0894,JN0106-JN0477,TK1952,395.82,Yellow,104,8,294,"[""TK1952"", ""TK1418""]",Manual,2025-04-23 17:37:30.378246
SG0895,JN0350-JN0100,TK1046,19.88,Green,90,11,102,"[""TK1046""]",Automatic,2025-04-30 17:37:30.379027
SG0896,JN0229-JN0247,TK1471,182.78,Yellow,121,10,253,"[""TK1471"", ""TK0307"", ""TK1537""]",Automatic,2024-10-10 17:37:30.380249
SG0897,JN0464-JN0740,TK0530,43.02,Yellow,174,5,201,"[""TK0530""]",Manual,2025-01-29 17:37:30.381029
SG0898,JN0056-JN0566,TK0475,51.23,Green,78,10,213,"[""TK0475""]",Semi-Automatic,2025-02-26 17:37:30.381792
SG0899,JN0277-JN0680,TK2623,19.16,Yellow,139,12,246,"[""TK2623"", ""TK2060""]",Automatic,2025-02-26 17:37:30.383011
SG0900,JN0069-JN0711,TK1682,55.79,Green,160,8,129,"[""TK1682"", ""TK0756"", ""TK1219""]",Automatic,2025-09-16 17:37:30.384225
SG0901,JN0910-JN0394,TK0164,84.57,Red,97,8,191,"[""TK0164""]",Manual,2024-11-06 17:37:30.385001
SG0902,JN0776-JN0438,TK0324,32.36,Green,98,13,196,"[""TK0324"", ""TK1432"", ""TK2465""]",Automatic,2025-09-06 17:37:30.386207
SG0903,JN0520-JN0493,TK2457,59.2,Yellow,97,10,175,"[""TK2457""]",Manual,2025-07-09 17:37:30.386985
SG0904,JN0242-JN0611,TK0985,53.04,Green,65,8,294,"[""TK0985"", ""TK1815"", ""TK1341""]",Automatic,2025-05-26 17:37:30.388201
SG0905,JN0178-JN0315,TK2334,331.67,Red,124,7,287,"[""TK2334""]",Semi-Automatic,2025-05-26 17:37:30.388986
SG0906,JN0669-JN0823,TK2161,118.58,Yellow,112,14,161,"[""TK2161"", ""TK0956""]",Automatic,2025-03-24 17:37:30.390209
SG0907,JN0465-JN0163,TK0170,361.92,Red,174,8,235,"[""TK0170""]",Automatic,2025-03-21 17:37:30.390989
SG0908,JN0805-JN0474,TK1708,179.86,Green,137,7,165,"[""TK1708""]",Automatic,2025-08-21 17:37:30.391837
SG0909,JN0992-JN0531,TK0507,161.35,Red,136,6,202,"[""TK0507""]",Automatic,2025-09-08 17:37:30.392644
SG0910,JN0826-JN0132,TK0333,336.52,Yellow,102,6,191,"[""TK0333""]",Automatic,2025-02-16 17:37:30.393427
SG0911,JN0210-JN0984,TK2526,77.29,Red,75,11,189,"[""TK2526"", ""TK1926""]",Manual,2025-02-11 17:37:30.394633
SG0912,JN0193-JN0956,TK0169,110.28,Red,116,13,147,"[""TK0169""]",Semi-Automatic,2025-04-28 17:37:30.395438
SG0913,JN0756-JN0392,TK2222,155.41,Green,169,12,208,"[""TK2222""]",Manual,2024-10-11 17:37:30.396209
SG0914,JN0877-JN0858,TK2431,70.81,Yellow,139,14,271,"[""TK2431""]",Automatic,2025-06-03 17:37:30.396975
